timestamp,cpu_watts,gpu_watts
2026-05-10T16:05:27.524875Z,81.802,9.350
2026-05-10T16:05:27.565259Z,71.565,9.350
2026-05-10T16:05:27.605083Z,64.475,9.350
2026-05-10T16:05:27.645714Z,79.981,9.350
2026-05-10T16:05:27.686268Z,67.886,9.350
2026-05-10T16:05:27.726075Z,69.237,9.350
2026-05-10T16:05:27.764938Z,62.765,9.350
2026-05-10T16:05:27.804113Z,65.870,9.350
2026-05-10T16:05:27.845128Z,72.496,9.350
2026-05-10T16:05:27.883939Z,65.561,9.350
2026-05-10T16:05:27.923076Z,61.669,9.350
2026-05-10T16:05:27.962202Z,61.401,9.350
2026-05-10T16:05:28.001832Z,77.458,9.490
2026-05-10T16:05:28.041321Z,75.595,9.490
2026-05-10T16:05:28.081045Z,72.267,9.490
2026-05-10T16:05:28.120709Z,65.015,9.490
2026-05-10T16:05:28.158950Z,64.936,9.490
2026-05-10T16:05:28.198879Z,84.192,9.490
2026-05-10T16:05:28.237390Z,79.204,9.490
2026-05-10T16:05:28.276513Z,64.592,9.490
2026-05-10T16:05:28.315644Z,76.463,9.490
2026-05-10T16:05:28.355863Z,75.253,9.490
2026-05-10T16:05:28.393815Z,63.880,9.490
2026-05-10T16:05:28.432908Z,74.746,9.490
2026-05-10T16:05:28.472194Z,61.800,9.490
2026-05-10T16:05:28.512389Z,78.447,9.490
2026-05-10T16:05:28.553310Z,72.518,9.490
2026-05-10T16:05:28.592993Z,63.317,9.490
2026-05-10T16:05:28.632591Z,88.076,9.490
2026-05-10T16:05:28.672254Z,70.979,9.490
2026-05-10T16:05:28.711359Z,73.580,9.490
2026-05-10T16:05:28.752069Z,88.110,9.490
2026-05-10T16:05:28.791857Z,67.497,9.490
2026-05-10T16:05:28.830760Z,106.277,9.490
2026-05-10T16:05:28.871629Z,76.403,9.490
2026-05-10T16:05:28.911879Z,79.194,9.490
2026-05-10T16:05:28.955184Z,102.843,9.490
2026-05-10T16:05:28.993135Z,79.173,9.240
2026-05-10T16:05:29.031377Z,118.857,9.240
2026-05-10T16:05:29.070605Z,82.598,9.240
2026-05-10T16:05:29.109706Z,65.870,9.240
2026-05-10T16:05:29.150593Z,134.339,9.240
2026-05-10T16:05:29.190766Z,93.694,9.240
2026-05-10T16:05:29.228848Z,132.028,8.820
2026-05-10T16:05:29.257580Z,107.475,8.820
2026-05-10T16:05:29.286910Z,73.117,8.820
2026-05-10T16:05:29.314045Z,86.927,8.710
2026-05-10T16:05:29.338658Z,170.940,8.710
2026-05-10T16:05:29.364892Z,97.417,8.710
2026-05-10T16:05:29.391226Z,71.467,8.710
2026-05-10T16:05:29.418010Z,110.219,8.720
2026-05-10T16:05:29.444957Z,161.367,8.720
2026-05-10T16:05:29.477198Z,85.246,8.720
2026-05-10T16:05:29.503766Z,70.137,8.770
2026-05-10T16:05:29.530798Z,162.106,8.770
2026-05-10T16:05:29.558019Z,132.912,8.770
2026-05-10T16:05:29.584283Z,74.020,8.770
2026-05-10T16:05:29.610625Z,71.717,8.800
2026-05-10T16:05:29.637924Z,177.651,8.800
2026-05-10T16:05:29.665621Z,130.212,8.800
2026-05-10T16:05:29.691380Z,77.216,8.800
2026-05-10T16:05:29.718933Z,104.141,8.900
2026-05-10T16:05:29.749037Z,184.539,8.900
